Partido,Pisos con revestimiento,Agua por canieria dentro de la vivienda,Agua para beber y cocinar por red publica,Banio o letrina dentro de la vivienda,Dos o mas banios,Banio con inodoro con arrastre de agua,Desague del inodoro del banio a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora o tablet u otros
Almirante Brown,83.7,90.5,54.8,96.3,20.3,85.4,41.4,65.1,73.3,83.0,91.6,55.9
Avellaneda,92.9,96.4,96.6,96.4,23.7,94.3,81.1,78.2,64.0,85.6,92.4,65.3
Berazategui,85.8,95.0,89.8,96.7,23.1,90.0,77.1,67.4,71.1,86.3,92.7,58.3
Esteban Echeverría,81.1,89.4,61.0,95.9,23.3,84.8,50.4,61.2,70.4,82.4,92.1,54.5
Ezeiza,78.0,87.7,49.4,96.0,20.0,82.8,35.7,55.0,72.9,76.8,91.7,51.4
Florencio Varela,72.5,87.5,83.2,94.5,15.0,77.7,46.8,45.4,73.6,77.9,90.3,44.6
General San Martín,92.3,96.2,97.0,97.4,24.5,93.1,76.1,75.9,64.4,84.0,92.0,63.3
Hurlingham,91.7,94.9,45.3,97.9,24.7,92.2,56.1,78.3,66.9,85.8,92.3,62.2
Ituzaingó,92.7,95.0,25.9,98.5,33.8,92.9,38.7,81.1,71.5,87.3,93.0,67.7
José C. Paz,78.4,84.5,14.5,95.9,16.2,75.8,8.1,40.6,72.4,77.3,90.3,45.7
La Matanza,80.1,91.3,90.7,94.6,19.2,83.6,58.8,57.1,67.5,79.6,90.8,51.3
Lanús,92.3,96.4,96.2,96.6,24.2,93.0,57.5,79.2,65.6,86.5,92.0,64.5
Lomas de Zamora,84.8,92.1,94.5,94.1,25.0,86.7,47.8,66.2,70.0,82.3,91.2,59.7
Malvinas Argentinas,84.8,89.5,14.1,96.4,20.8,82.9,9.3,54.7,68.8,82.2,91.4,54.8
Merlo,78.7,87.3,41.4,95.8,17.0,79.1,39.5,45.9,72.2,79.2,90.8,49.0
Moreno,75.5,85.4,35.8,95.2,18.1,76.9,32.2,35.0,74.0,75.7,90.7,45.3
Morón,95.9,97.6,88.0,99.0,32.8,96.2,79.5,90.5,63.4,89.1,93.1,70.8
Quilmes,85.6,93.1,95.0,95.7,24.3,87.6,78.9,65.8,70.2,82.1,91.1,58.4
San Fernando,92.0,96.6,96.9,97.3,25.3,94.1,93.1,73.5,61.9,82.8,91.9,62.8
San Isidro,95.5,98.2,98.0,98.9,47.9,97.0,94.6,87.9,66.8,89.4,93.3,77.5
San Miguel,87.3,92.1,42.8,97.4,25.3,86.9,49.7,64.2,63.8,83.6,92.4,59.9
Tigre,89.1,93.9,72.7,96.9,33.0,90.8,34.9,60.7,66.8,87.2,93.1,64.6
Tres de Febrero,95.8,97.9,96.6,98.7,25.1,96.5,94.2,88.6,61.8,86.4,92.6,68.1
Vicente López,97.8,98.9,98.6,99.4,46.8,98.7,98.4,94.3,63.5,91.9,94.1,82.2
Adolfo Alsina,95.6,97.2,90.4,98.8,18.1,97.5,49.7,75.7,69.2,80.9,88.3,56.4
Adolfo Gonzales Chaves,96.4,97.4,91.1,99.0,22.7,97.8,53.1,69.4,68.7,78.4,88.2,60.0
Alberti,93.0,96.3,71.3,98.2,27.0,96.2,77.1,61.3,69.2,79.2,87.6,58.3
Arrecifes,89.9,96.9,95.4,97.8,21.9,95.0,73.9,59.4,69.7,79.7,88.3,51.5
Ayacucho,92.6,97.0,89.4,99.0,24.5,98.1,82.9,68.9,64.8,74.3,85.7,51.7
Azul,93.8,96.2,93.1,98.1,25.1,95.3,81.4,78.2,67.9,76.6,87.7,58.0
Bahía Blanca,95.4,97.1,96.4,98.5,29.5,96.7,83.8,85.1,61.3,85.9,92.8,69.6
Balcarce,91.6,96.4,90.3,97.9,27.5,95.8,82.2,68.1,65.4,75.9,86.2,57.6
Baradero,89.7,96.1,93.4,97.3,21.4,92.6,68.4,54.1,68.4,76.2,89.2,55.0
Benito Juárez,94.8,97.5,90.2,99.2,22.6,98.0,65.5,79.7,66.5,74.0,85.5,56.5
Berisso,85.0,91.5,91.5,95.7,22.9,87.2,50.2,63.2,73.6,82.1,90.9,57.2
